index,abbr,url
北京,beijing,https://bj.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
成都,chengdu,https://cd.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
重庆,chongqing,https://cq.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
长沙,cs,https://cs.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
长春,cc,https://cc.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
大连,dalian,https://dl.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
东莞,dg,https://dg.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
佛山,foshan,https://fs.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
福州,fz,https://fz.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
广州,guangzhou,https://gz.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
杭州,hangzhou,https://hz.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
合肥,hf,https://hf.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
济南,jinan,https://jn.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
昆明,km,https://km.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
南京,nanjing,https://nj.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
宁波,nb,https://nb.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
南昌,nc,https://nc.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
青岛,qd,https://qd.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
上海,shanghai,https://sh.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
深圳,shenzhen,https://sz.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
苏州,suzhou,https://su.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
石家庄,sjz,https://sjz.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
沈阳,sy,https://shen.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
天津,tianjin,https://tj.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
太原,ty,https://ty.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
武汉,wuhan,https://wh.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
无锡,wuxi,https://wx.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
西安,xa,https://xa.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
厦门,xm,https://xm.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
郑州,zhengzhou,https://zz.sydc.anjuke.com/shangban/loupan/?from=spxzl_index_float_bglp
