city,abbr,xzl_name,xzl_addr,xzl_price,xzl_lng,xzl_lat
北京,beijing,新管庄科技园,朝阳管庄|距离地铁八通线管庄站126米,4元/㎡/天,116.60471,39.915684
北京,beijing,亦贸科创中心,通州马驹桥|距离地铁亦庄线经海路站2175米,2.11元/㎡/天,116.584655,39.774148
北京,beijing,宝能慧谷,顺义李桥,2元/㎡/天,116.6747128,40.0955908
北京,beijing,安贞大厦,东城安定门|距离地铁5号线和平西桥站772米,6.5元/㎡/天,116.415411,39.9744578
北京,beijing,鸿坤金融谷,大兴西红门,3.5元/㎡/天,116.383555,39.7876
北京,beijing,永丰智慧谷,海淀西北旺|距离地铁16号线永丰站1968米,6元/㎡/天,116.23758,40.094465
北京,beijing,京杭广场,通州新华大街|距离地铁6号线通州北关站1111米,3.3元/㎡/天,116.6652093,39.914957
北京,beijing,首开万科云创天地,通州台湖镇|距离地铁亦庄线次渠站875米,4元/㎡/天,116.596033,39.816914
北京,beijing,通州绿地中央广场,通州北关|距离地铁6号线通州北关站417米,3.3元/㎡/天,116.6636985,39.9230211
北京,beijing,鸿懋商务大厦,朝阳北苑|距离地铁5号线北苑路北站1755米,5.93元/㎡/天,116.443925,40.031547
北京,beijing,沃德中心(酒仙桥),朝阳酒仙桥|距离地铁14号线(东)将台站980米,5元/㎡/天,116.506598,39.980786
北京,beijing,龙熙瓦德拉玛庄园,大兴庞各庄,1元/㎡/天,116.309902,39.629662
北京,beijing,北京壹号总部,通州次渠,3.5元/㎡/天,116.5426668,39.8259227
北京,beijing,顺义28街区,顺义机场|距离地铁首都机场线T2航站楼站2376米,3.5元/㎡/天,116.5878588,40.0661125
北京,beijing,台铭国际企业花园,通州台湖镇|距离地铁7号线万盛西站2791米,2.5元/㎡/天,116.630244,39.845657
北京,beijing,福泰中心,朝阳望京|距离地铁14号线(东)望京站445米,7.8元/㎡/天,116.472969,40.001009
北京,beijing,清城国际,大兴清源|距离地铁4号线大兴线黄村西大街站321米,2.7元/㎡/天,116.338349,39.740205
北京,beijing,星城国际大厦,朝阳酒仙桥|距离地铁14号线(东)望京南站925米,6.5元/㎡/天,116.497224,39.98565
北京,beijing,SK大厦,朝阳国贸|距离地铁1号线国贸站289米,11.5元/㎡/天,116.463528,39.913192
北京,beijing,乐成中心,朝阳双井|距离地铁7号线双井站112米,7.8元/㎡/天,116.468977,39.900167
北京,beijing,WE立方·优客工场,朝阳酒仙桥|距离地铁14号线(东)望京南站1264米,6.5元/㎡/天,116.501255,39.996241
北京,beijing,东煌大厦,朝阳望京|距离地铁14号线(东)望京南站164米,8元/㎡/天,116.487744,39.9918995
北京,beijing,中辰大厦,朝阳望京|距离地铁14号线(东)东湖渠站543米,6.2元/㎡/天,116.47864,40.019587
北京,beijing,华声国际大厦17F,朝阳CBD|距离地铁2号线建国门站606米,14.49元/㎡/天,116.442519,39.91995
北京,beijing,信通大厦,东城建国门|距离地铁2号线北京站站351米,3.57元/㎡/天,116.437516,39.910154
北京,beijing,蓝海中心,海淀西北旺|距离地铁13号线西二旗站1653米,5.5元/㎡/天,116.298891,40.048419
北京,beijing,骏马国际写字楼,海淀中关村|距离地铁10号线知春里站543米,8元/㎡/天,116.339219,39.986317
北京,beijing,中化大厦,西城南礼士路|距离地铁1号线南礼士路站133米,13元/㎡/天,116.35789,39.912393
北京,beijing,中坤大厦,海淀皂君庙|距离地铁13号线西直门站338米,6.2元/㎡/天,116.3566932,39.9493708
北京,beijing,华杰大厦,海淀皂君庙|距离地铁13号线大钟寺站393米,4.8元/㎡/天,116.348014,39.970061
北京,beijing,紫檀大厦,朝阳高碑店|距离地铁八通线高碑店站942米,8元/㎡/天,116.548366,39.918686
北京,beijing,华声国际大厦,朝阳CBD|距离地铁2号线建国门站606米,5.13元/㎡/天,116.442519,39.91995
北京,beijing,奥林佳泰大厦,朝阳南沙滩|距离地铁15号线北沙滩站995米,6元/㎡/天,116.381126,40.015417
北京,beijing,晶能梦谷,大兴亦庄东区|距离地铁亦庄线经海路站1030米,2.6元/㎡/天,116.572338,39.798359
北京,beijing,京润大厦,西城月坛|距离地铁6号线车公庄西站1080米,11元/㎡/天,116.348872,39.928479
北京,beijing,泽洋大厦,石景山杨庄|距离地铁6号线杨庄站1381米,4元/㎡/天,116.207017,39.926434
北京,beijing,京泰大厦,朝阳建外大街|距离地铁2号线建国门站405米,7.23元/㎡/天,116.4464084,39.9126863
北京,beijing,复星国际-泰巢空间,朝阳东大桥|距离地铁6号线东大桥站365米,10.48元/㎡/天,116.462124,39.930022
北京,beijing,盈科中心,朝阳三里屯|距离地铁10号线团结湖站261米,13元/㎡/天,116.4656549,39.9382686
